ScrapedName,PlayerID,Method,MatchedName
Jakob Jonsson,6737,Exact,Jakob Jonsson
Jakob Renvaktar,2259,Exact,Jakob Renvaktar
Jakob Zalokar Obadic,10531,Exact,Jakob Zalokar Obadic
Jakob Zalokar Obadič,10531,Fuzzy,Jakob Zalokar Obadic
Jakub Matysek,4193,Exact,Jakub Matysek
Jakub Sladek,889,Exact,Jakub Sladek
Jakub Sládek,889,Fuzzy,Jakub Sladek
Jali Salo,5652,Exact,Jali Salo
James-John Forsberg,13853,Exact,James-John Forsberg
Jan Andersson,5567,Exact,Jan Andersson
Jan Dryak,2583,Exact,Jan Dryak
Jan Dryák,2583,Fuzzy,Jan Dryak
Jan Pelkonen,1550,Exact,Jan Pelkonen
Jan Sladek,2009,Exact,Jan Sladek
Jan Sládek,2009,Fuzzy,Jan Sladek
Jani Herlevi,401,Exact,Jani Herlevi
Janis Kalnevics,2988,Fuzzy,Jānis Kalnevics
Janis Karlovskis,3642,Fuzzy,Jānis Karlovskis
Janis Mikelis Bitmanis,10336,Fuzzy,Jānis Miķelis Bitmanis
Janis Zalite,12530,Manual,Janis Zalite
Janis Zemnickis,13600,Fuzzy,Jānis Zemņickis
Janis zalite,12530,Manual,Janis zalite
Janne Kantola,4179,Exact,Janne Kantola
Janne Ollila,1208,Exact,Janne Ollila
Jari Sahlgren,5353,Exact,Jari Sahlgren
Jarle Eide,2282,Exact,Jarle Eide
Jekabs Rekis,10720,Manual,Jekabs Rekis
Jerry Wikström,1322,Exact,Jerry Wikström
Jevgeni Lvov,622,Exact,Jevgeni Lvov
Jevgenijs Zaharovs,894,Fuzzy,Jevgēnijs Zaharovs
Jevgeny Tsupko,4146,Exact,Jevgeny Tsupko
Jevgēnijs Zaharovs,894,Exact,Jevgēnijs Zaharovs
Jimi Månsson,2930,Exact,Jimi Månsson
Jimmie Gellersten,2616,Fuzzy,Jimmy Gellersten
Jimmy Douz,4485,Exact,Jimmy Douz
Jimmy Eklund,2678,Exact,Jimmy Eklund
Jimmy Gellersten,2616,Exact,Jimmy Gellersten
Jimmy Mårdell,1211,Fuzzy,Jimmy Mardell
Jiri Chylik,2010,Manual,Jiri Chylik
Jiri Chylik ml.,2010,Exact,Jiri Chylik ml.
Jiri Vacha,11912,Exact,Jiri Vacha
Jiří Chylík,2010,Manual,Jiří Chylík
Joachim Thyzell,15559,Exact,Joachim Thyzell
Joakim Gåfvels,2934,Exact,Joakim Gåfvels
Joakim Jakobsson,14927,Exact,Joakim Jakobsson
Joakim Lundin,1299,Exact,Joakim Lundin
Joakim Åström,12492,Exact,Joakim Åström
Joan Eriksson Mencl,2367,Exact,Joan Eriksson Mencl
Joel Hall,2377,Exact,Joel Hall
Johan Eriksson,2159,Exact,Johan Eriksson
Johan Estmo,5324,Exact,Johan Estmo
Johan Fischer,2451,Exact,Johan Fischer
Johan Johansson,5208,Exact,Johan Johansson
Johan Yrlid,5540,Exact,Johan Yrlid
Johannes Brunner,5228,Exact,Johannes Brunner
John Backlund,2352,Exact,John Backlund
Jonas Bergström,2924,Exact,Jonas Bergström
Jonas Hagborg,4649,Exact,Jonas Hagborg
Jonas Karlsson,8265,Fuzzy,Johan Karlsson
Jonas Karrberg,2913,Exact,Jonas Karrberg
Jonas Mårdell,4065,Exact,Jonas Mårdell
Jonas Nordin,2206,Exact,Jonas Nordin
Jonas Pleikys,14567,Exact,Jonas Pleikys
Jonas Willman,2211,Exact,Jonas Willman
Jorens Leskovics,980,Fuzzy,Jorens Leskovičs
Jorn Moldvaer,1223,Manual,Jorn Moldvaer
Jorn Moldvar,1223,Manual,Jorn Moldvar
Jorn Skjeveland,4494,Manual,Jorn Skjeveland
Jouko Pelkonen,1551,Exact,Jouko Pelkonen
Jouni Tikkanen,3007,Exact,Jouni Tikkanen
Juha-Matti Santala,2454,Exact,Juha-Matti Santala
Juho Itkonen,9856,Exact,Juho Itkonen
Juho Rautio,1212,Exact,Juho Rautio
Julia Forsberg,15724,Exact,Julia Forsberg
Julian Elvén,2643,Exact,Julian Elvén
